"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"01.01.2020 00:00 - 01.01.2020 00:15","9284","9233"
"01.01.2020 00:15 - 01.01.2020 00:30","9178","9133"
"01.01.2020 00:30 - 01.01.2020 00:45","9064","9003"
"01.01.2020 00:45 - 01.01.2020 01:00","8904","8907"
"01.01.2020 01:00 - 01.01.2020 01:15","8685","8850"
"01.01.2020 01:15 - 01.01.2020 01:30","8607","8765"
"01.01.2020 01:30 - 01.01.2020 01:45","8495","8669"
"01.01.2020 01:45 - 01.01.2020 02:00","8389","8518"
"01.01.2020 02:00 - 01.01.2020 02:15","8293","8457"
"01.01.2020 02:15 - 01.01.2020 02:30","8215","8378"
"01.01.2020 02:30 - 01.01.2020 02:45","8159","8282"
"01.01.2020 02:45 - 01.01.2020 03:00","8076","8164"
"01.01.2020 03:00 - 01.01.2020 03:15","7987","8077"
"01.01.2020 03:15 - 01.01.2020 03:30","7912","8006"
"01.01.2020 03:30 - 01.01.2020 03:45","7871","7980"
"01.01.2020 03:45 - 01.01.2020 04:00","7817","7940"
"01.01.2020 04:00 - 01.01.2020 04:15","7765","7849"
"01.01.2020 04:15 - 01.01.2020 04:30","7721","7809"
"01.01.2020 04:30 - 01.01.2020 04:45","7719","7764"
"01.01.2020 04:45 - 01.01.2020 05:00","7677","7760"
"01.01.2020 05:00 - 01.01.2020 05:15","7659","7774"
"01.01.2020 05:15 - 01.01.2020 05:30","7638","7764"
"01.01.2020 05:30 - 01.01.2020 05:45","7689","7798"
"01.01.2020 05:45 - 01.01.2020 06:00","7655","7800"
"01.01.2020 06:00 - 01.01.2020 06:15","7654","7831"
"01.01.2020 06:15 - 01.01.2020 06:30","7655","7830"
"01.01.2020 06:30 - 01.01.2020 06:45","7746","7861"
"01.01.2020 06:45 - 01.01.2020 07:00","7684","7865"
"01.01.2020 07:00 - 01.01.2020 07:15","7616","7770"
"01.01.2020 07:15 - 01.01.2020 07:30","7544","7734"
"01.01.2020 07:30 - 01.01.2020 07:45","7596","7763"
"01.01.2020 07:45 - 01.01.2020 08:00","7581","7744"
"01.01.2020 08:00 - 01.01.2020 08:15","7580","7821"
"01.01.2020 08:15 - 01.01.2020 08:30","7586","7923"
"01.01.2020 08:30 - 01.01.2020 08:45","7636","7911"
"01.01.2020 08:45 - 01.01.2020 09:00","7656","7927"
"01.01.2020 09:00 - 01.01.2020 09:15","7689","7969"
"01.01.2020 09:15 - 01.01.2020 09:30","7743","8090"
"01.01.2020 09:30 - 01.01.2020 09:45","7810","8162"
"01.01.2020 09:45 - 01.01.2020 10:00","7915","8192"
"01.01.2020 10:00 - 01.01.2020 10:15","8022","8234"
"01.01.2020 10:15 - 01.01.2020 10:30","8119","8325"
"01.01.2020 10:30 - 01.01.2020 10:45","8165","8412"
"01.01.2020 10:45 - 01.01.2020 11:00","8239","8476"
"01.01.2020 11:00 - 01.01.2020 11:15","8330","8520"
"01.01.2020 11:15 - 01.01.2020 11:30","8416","8653"
"01.01.2020 11:30 - 01.01.2020 11:45","8456","8684"
"01.01.2020 11:45 - 01.01.2020 12:00","8532","8748"
"01.01.2020 12:00 - 01.01.2020 12:15","8582","8720"
"01.01.2020 12:15 - 01.01.2020 12:30","8629","8744"
"01.01.2020 12:30 - 01.01.2020 12:45","8613","8790"
"01.01.2020 12:45 - 01.01.2020 13:00","8631","8788"
"01.01.2020 13:00 - 01.01.2020 13:15","8648","8818"
"01.01.2020 13:15 - 01.01.2020 13:30","8657","8793"
"01.01.2020 13:30 - 01.01.2020 13:45","8626","8798"
"01.01.2020 13:45 - 01.01.2020 14:00","8588","8720"
"01.01.2020 14:00 - 01.01.2020 14:15","8566","8586"
"01.01.2020 14:15 - 01.01.2020 14:30","8552","8528"
"01.01.2020 14:30 - 01.01.2020 14:45","8538","8595"
"01.01.2020 14:45 - 01.01.2020 15:00","8528","8569"
"01.01.2020 15:00 - 01.01.2020 15:15","8527","8619"
"01.01.2020 15:15 - 01.01.2020 15:30","8522","8640"
"01.01.2020 15:30 - 01.01.2020 15:45","8508","8678"
"01.01.2020 15:45 - 01.01.2020 16:00","8505","8684"
"01.01.2020 16:00 - 01.01.2020 16:15","8524","8729"
"01.01.2020 16:15 - 01.01.2020 16:30","8561","8777"
"01.01.2020 16:30 - 01.01.2020 16:45","8638","8787"
"01.01.2020 16:45 - 01.01.2020 17:00","8749","8984"
"01.01.2020 17:00 - 01.01.2020 17:15","8879","9233"
"01.01.2020 17:15 - 01.01.2020 17:30","9009","9358"
"01.01.2020 17:30 - 01.01.2020 17:45","9106","9482"
"01.01.2020 17:45 - 01.01.2020 18:00","9167","9486"
"01.01.2020 18:00 - 01.01.2020 18:15","9172","9477"
"01.01.2020 18:15 - 01.01.2020 18:30","9165","9492"
"01.01.2020 18:30 - 01.01.2020 18:45","9137","9517"
"01.01.2020 18:45 - 01.01.2020 19:00","9132","9477"
"01.01.2020 19:00 - 01.01.2020 19:15","9107","9430"
"01.01.2020 19:15 - 01.01.2020 19:30","9086","9361"
"01.01.2020 19:30 - 01.01.2020 19:45","9015","9288"
"01.01.2020 19:45 - 01.01.2020 20:00","8962","9262"
"01.01.2020 20:00 - 01.01.2020 20:15","8916","9229"
"01.01.2020 20:15 - 01.01.2020 20:30","8888","9202"
"01.01.2020 20:30 - 01.01.2020 20:45","8831","9112"
"01.01.2020 20:45 - 01.01.2020 21:00","8795","9021"
"01.01.2020 21:00 - 01.01.2020 21:15","8771","9026"
"01.01.2020 21:15 - 01.01.2020 21:30","8743","8942"
"01.01.2020 21:30 - 01.01.2020 21:45","8671","8845"
"01.01.2020 21:45 - 01.01.2020 22:00","8730","8836"
"01.01.2020 22:00 - 01.01.2020 22:15","8847","9033"
"01.01.2020 22:15 - 01.01.2020 22:30","8996","9185"
"01.01.2020 22:30 - 01.01.2020 22:45","9006","9233"
"01.01.2020 22:45 - 01.01.2020 23:00","9077","9228"
"01.01.2020 23:00 - 01.01.2020 23:15","9119","9422"
"01.01.2020 23:15 - 01.01.2020 23:30","9123","9354"
"01.01.2020 23:30 - 01.01.2020 23:45","8999","9258"
"01.01.2020 23:45 - 02.01.2020 00:00","8863","9132"
"02.01.2020 00:00 - 02.01.2020 00:15","8730","8999"
"02.01.2020 00:15 - 02.01.2020 00:30","8628","8895"
"02.01.2020 00:30 - 02.01.2020 00:45","8519","8753"
"02.01.2020 00:45 - 02.01.2020 01:00","8443","8657"
"02.01.2020 01:00 - 02.01.2020 01:15","8861","8631"
"02.01.2020 01:15 - 02.01.2020 01:30","8729","8463"
"02.01.2020 01:30 - 02.01.2020 01:45","8622","8397"
"02.01.2020 01:45 - 02.01.2020 02:00","8509","8289"
"02.01.2020 02:00 - 02.01.2020 02:15","8479","8235"
"02.01.2020 02:15 - 02.01.2020 02:30","8380","8166"
"02.01.2020 02:30 - 02.01.2020 02:45","8328","8084"
"02.01.2020 02:45 - 02.01.2020 03:00","8283","8037"
"02.01.2020 03:00 - 02.01.2020 03:15","8309","7978"
"02.01.2020 03:15 - 02.01.2020 03:30","8201","7919"
"02.01.2020 03:30 - 02.01.2020 03:45","8187","7891"
"02.01.2020 03:45 - 02.01.2020 04:00","8186","7904"
"02.01.2020 04:00 - 02.01.2020 04:15","8380","7894"
"02.01.2020 04:15 - 02.01.2020 04:30","8384","7884"
"02.01.2020 04:30 - 02.01.2020 04:45","8443","7912"
"02.01.2020 04:45 - 02.01.2020 05:00","8505","7939"
"02.01.2020 05:00 - 02.01.2020 05:15","8698","8066"
"02.01.2020 05:15 - 02.01.2020 05:30","8848","8095"
"02.01.2020 05:30 - 02.01.2020 05:45","8963","8214"
"02.01.2020 05:45 - 02.01.2020 06:00","9073","8304"
"02.01.2020 06:00 - 02.01.2020 06:15","9475","8676"
"02.01.2020 06:15 - 02.01.2020 06:30","9700","8955"
